Feature,Coefficient,Abs_Coefficient
Total_Trans_Ct,-2.9805038927488594,2.9805038927488594
Total_Trans_Amt,1.7736543297416392,1.7736543297416392
Total_Ct_Chng_Q4_Q1,-0.6093265830718625,0.6093265830718625
Contacts_Count_12_mon,0.5988105682955441,0.5988105682955441
Total_Relationship_Count,-0.5828738715614004,0.5828738715614004
Months_Inactive_12_mon,0.5754046113536208,0.5754046113536208
Total_Revolving_Bal,-0.5455545938063129,0.5455545938063129
Gender_Encoded,-0.46056694635465245,0.46056694635465245
Avg_Utilization_Ratio,-0.25445641288594867,0.25445641288594867
Income_Category_Encoded,0.1863174360232522,0.1863174360232522
Dependent_count,0.17429860809045147,0.17429860809045147
Marital_Status_Encoded,0.1644413542102261,0.1644413542102261
Months_on_book,-0.12172490300356441,0.12172490300356441
Card_Category_Encoded,0.11413115878712624,0.11413115878712624
Total_Amt_Chng_Q4_Q1,-0.11280840154944764,0.11280840154944764
Credit_Limit,-0.08435044085533037,0.08435044085533037
Education_Level_Encoded,0.06071670606658411,0.06071670606658411
Avg_Open_To_Buy,-0.0355127379183595,0.0355127379183595
Customer_Age,0.02292187749837099,0.02292187749837099
